target,satellite,label,index,filename,view,period,t0,star_radius,k,aos,i,e,w,ldcs_1,ldcs_2
HD105211,UBr,PC,76,76_curve_HD105211_UBr.npy,Curve,2.508672475009443,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,76,76_fold_HD105211_UBr.npy,PhaseFold,2.508672475009443,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,76,76_global_HD105211_UBr.npy,Global,2.508672475009443,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,76,76_local_HD105211_UBr.npy,Local,2.508672475009443,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,77,77_curve_HD105211_UBr.npy,Curve,2.510061363898332,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,77,77_fold_HD105211_UBr.npy,PhaseFold,2.510061363898332,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,77,77_global_HD105211_UBr.npy,Global,2.510061363898332,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,77,77_local_HD105211_UBr.npy,Local,2.510061363898332,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,78,78_curve_HD105211_UBr.npy,Curve,2.5114502527872213,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,78,78_fold_HD105211_UBr.npy,PhaseFold,2.5114502527872213,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
HD105211,UBr,PC,78,78_global_HD105211_UBr.npy,Global,2.5114502527872213,1480.667838786993,1.78292,0.1003748421593922,10.274398679358034,1.5489221753885791,0.0,0.0,0.3,0.1
